                column_name          data_type
0                        id               uuid
1                 published               text
2                     title  character varying
3                main_image               text
4         additional_images               text
5         short_description               text
6               description               text
7                     brand  character varying
8            frame_material  character varying
9                frame_type  character varying
10              frame_shape  character varying
11         progressive_lens               text
12              sustainable               text
13             target_group  character varying
14               lens_width            numeric
15             bridge_width            numeric
16            temple_length            numeric
17                   color1  character varying
18                   color2  character varying
19            search_color1  character varying
20            search_color2  character varying
21  manufacturer_color_code  character varying
22           article_number  character varying
23                  number2  character varying
24            web_master_id  character varying
25                      ean  character varying
26                  variant  character varying
27       availability_value            numeric
28            revenue_value            numeric
29                   margin            numeric
30                freshness               text
31     freshness_until_date               date
32                highlight               text
33     highlight_until_date               date
34          product_sorting            integer
35            fittingbox_id               text
